File Name,File URL,File Type,Date Created
Fiducia Centrale Location Analysis .pdf,https://drive.google.com/file/d/1rJF5QfN4KUVYtgGrVlng1lj72GCx0HlI/view?usp=drivesdk,application/pdf,1/25/2026 15:03:15
Comparative Legal Analysis_ The 2019 4Culture Charter in Historical and Jurisprudential Context - Google Docs.pdf,https://drive.google.com/file/d/1HB4flFQzlIfEOuBgNiK_j_r3xU3nFFZB/view?usp=drivesdk,application/pdf,4/28/2026 22:25:15
4Culture Charter vs other Sources - Google Docs.pdf,https://drive.google.com/file/d/15AWAjU6SLR8YGq9_5Ue4SD2l9j2jR-7R/view?usp=drivesdk,application/pdf,4/28/2026 22:21:47
The Evolution of the Domicile Rule in American Succession Law_ A Jurisprudential Analysis - Google Docs.pdf,https://drive.google.com/file/d/1jTxpmZsk8DvKUNgcZbvhdos4vpZ5Zrxk/view?usp=drivesdk,application/pdf,4/28/2026 22:08:12
Restrictive Covenants and Eminent Domain_ The Compensation Debate - Google Docs.pdf,https://drive.google.com/file/d/11fNY_yPyv6I6_1aY91ZV-jtx5ctTyMYR/view?usp=drivesdk,application/pdf,4/28/2026 22:03:05
The Jurisdictional Compass_ Navigating Lex Domicilii and Lex Rei Sitae - Google Docs.pdf,https://drive.google.com/file/d/1MxjQoy0BLwgY6SV6vG63XyNVbgSzXGEk/view?usp=drivesdk,application/pdf,4/28/2026 21:58:33
Filed Memorendum in Support of Sovereign Declaration 4182026.pdf,https://drive.google.com/file/d/1GjXW_D_Wu2JNU_iYyKdb2Tbhkl6Fa43s/view?usp=drivesdk,application/pdf,4/18/2026 23:20:49
filed notice of non-consent.pdf,https://drive.google.com/file/d/1OBMHpJH9CCVh3-C9J4kknwQZHt4qT2ls/view?usp=drivesdk,application/pdf,4/10/2026 8:04:21
NOTICE OF SUPPLEMENTAL AUTHORITY_ BIOMETRIC VERIFICATION OF SOVEREIGN IDENTITY - Google Docs.pdf,https://drive.google.com/file/d/1Yf7SAvqOSMrrrLzePQ7CqsnJ0YkFiYWg/view?usp=drivesdk,application/pdf,3/24/2026 23:58:37
"Analysis of the Seattle-Bremerton Majorat_ Strategic Assets, Technologically Facilitated Terrorism, and Security Frameworks - Google Docs.pdf",https://drive.google.com/file/d/1NM67CiSrQaa48XiC98kd2pq4CU8SwhzD/view?usp=drivesdk,application/pdf,3/22/2026 10:51:34
Notice of Non-Consent and Reservation of Rights - Google Docs.pdf,https://drive.google.com/file/d/1d2YwpxQkCwqLPY99473sV_1a4xxxFJ1Q/view?usp=drivesdk,application/pdf,3/22/2026 9:56:47
filed STIPULATED JUDGMENT AND DECREE OF QUIET TITLE.pdf,https://drive.google.com/file/d/1kq7B9dpDWwN67uVX0bUmRUHCwU4h1zoh/view?usp=drivesdk,application/pdf,1/25/2026 17:29:28
Filed JUDGMENT AND ORDER APPROVING SETTLEMENT AGREEMENT.pdf,https://drive.google.com/file/d/124pGNWd83rENGvfS0nu9tRSAp63DI9d7/view?usp=drivesdk,application/pdf,1/25/2026 17:29:29
"FILED PETITION FOR JURISDICTIONAL DETERMINATION, DECLARATORY RELIEF, AND WRIT OF MANDAMUS.pdf",https://drive.google.com/file/d/13zsUQ0-vr-AcHqNidxO4RjVpnr779Ati/view?usp=drivesdk,application/pdf,1/25/2026 15:30:47
Filed orca whale conservation group outline.pdf,https://drive.google.com/file/d/1f25Imht-A_XLMQnhqyseT0NrCt9t4O7a/view?usp=drivesdk,application/pdf,1/22/2026 18:35:06
Filed NATO contract outline.pdf,https://drive.google.com/file/d/1CzPYZQ2Lr-cOD5Haq-wNVWqVeyp_JCbN/view?usp=drivesdk,application/pdf,1/22/2026 18:21:56
Filed Urban Development Project Outline.pdf,https://drive.google.com/file/d/1k5mKaEXD2G5NeqVaSOJWWkuEBI6AsBMC/view?usp=drivesdk,application/pdf,1/22/2026 18:10:01
statements from plaintiff filed 1222026.pdf,https://drive.google.com/file/d/1SZih4KTAxUUvES9d9D6I-besfNjqhVSN/view?usp=drivesdk,application/pdf,1/22/2026 15:37:41
defendants response 1222026.pdf,https://drive.google.com/file/d/1U5PhzNMEu7W3REFaC-s2GbgAeHurwhdb/view?usp=drivesdk,application/pdf,1/22/2026 15:37:37
confirmation of mailing.pdf,https://drive.google.com/file/d/175hjD64Xlr6dTAPaSECKa5BzJg6fvjZ9/view?usp=drivesdk,application/pdf,1/22/2026 15:37:37
Gmail - CUI__PRIIG NAVIG Case No. 202600203.pdf,https://drive.google.com/file/d/1bnQKG4dDEUz5tkRB3EVnj18pRKzaQ7U4/view?usp=drivesdk,application/pdf,1/22/2026 15:37:36
"Gmail - Fwd_ CUI__PRIIG Complaint Acknowledgment, re_ NAVIG Case No. 202600205.pdf",https://drive.google.com/file/d/12o3S373YZAOYiUcmcjd3zDwLQaHGyF7g/view?usp=drivesdk,application/pdf,1/22/2026 15:38:42
document (6).pdf,https://drive.google.com/file/d/1I11helQWtbpA0uqrjil5bQFcMJLwlDDl/view?usp=drivesdk,application/pdf,1/22/2026 15:39:20
document (7).pdf,https://drive.google.com/file/d/1reuuGS8ihatLGNyxs7n_xg-UcX_sdcWE/view?usp=drivesdk,application/pdf,1/22/2026 15:38:49
order setting civil case.pdf,https://drive.google.com/file/d/1QEvtVm2FHsNtm5nA0r4TuCk86yvrh7dp/view?usp=drivesdk,application/pdf,1/22/2026 15:38:42
designated area case cover sheet.pdf,https://drive.google.com/file/d/1MAoaPWBFr1SX2XJdMC9mxCYfYyOPARec/view?usp=drivesdk,application/pdf,1/22/2026 15:38:41
Filed Settlement Agreement 1102026.pdf,https://drive.google.com/file/d/1zPgSKMumUNFPPzfb9Twmk900SUE4rbc8/view?usp=drivesdk,application/pdf,1/22/2026 15:39:30
