File Name,File URL,File Type,Date Created
Medical Docs HMRC.pdf,https://drive.google.com/file/d/1bCHOcRSfEfWfafuO2pyGxC872DCO1bte/view?usp=drivesdk,application/pdf,5/22/2026 16:01:03
Harborview Hospital Narrative.pdf,https://drive.google.com/file/d/1V_ljnFRUk3Aq625WSCY0aytOSolIJip_/view?usp=drivesdk,application/pdf,5/16/2026 2:43:25
Defendant's Narrative - Google Docs (3).pdf,https://drive.google.com/file/d/19k-ZFgCTW1w8XL7PqnJ9tV8tJLZazibL/view?usp=drivesdk,application/pdf,5/16/2026 2:43:42
Correspondence with Harborview- Google Docs (5).pdf,https://drive.google.com/file/d/1e3oXJKvJFgyLIauRxhloqdUGI_3GZlGA/view?usp=drivesdk,application/pdf,5/16/2026 2:43:42
Email to Molly McNamera - Please explain (1).pdf,https://drive.google.com/file/d/1Mi5lMjYuqDg8OsXYkiDElL-UXari99a0/view?usp=drivesdk,application/pdf,5/16/2026 2:43:43
Journal Case No 658959 - Google Docs (2).pdf,https://drive.google.com/file/d/1_0TrYXXAUeXcY3opDwDFWmhOkWPnndTV/view?usp=drivesdk,application/pdf,5/16/2026 2:43:43
Journal Harborview Hospital - Google Docs (3).pdf,https://drive.google.com/file/d/1kkY0PLvKwPGDw0r9DyhjYKt94qfVlWBs/view?usp=drivesdk,application/pdf,5/16/2026 2:43:43
Case View 658959.pdf,https://drive.google.com/file/d/1pR5LLqKUG8n6-bCcGN8x86pBZ9vXHcbn/view?usp=drivesdk,application/pdf,6/15/2025 23:32:15
Request for Discovery.pdf,https://drive.google.com/file/d/1zM-GXBfZIfz_cIIA-N-nxH4EVFwa51zV/view?usp=drivesdk,application/pdf,6/15/2025 23:32:16
Order to Redact Competency Eval.pdf,https://drive.google.com/file/d/1b_ncrN0YsLOrkn5NXhfKYHB7KWRyR_lH/view?usp=drivesdk,application/pdf,6/15/2025 21:44:01
REDACTED Competency Evaluation.pdf,https://drive.google.com/file/d/18J_cHdP1tv1f5MzYIWlW11W8LKWCVbg-/view?usp=drivesdk,application/pdf,6/15/2025 21:44:05
Case Docket.pdf,https://drive.google.com/file/d/1T5mEg8p850fSYKYfgpbkYZ9tnONHXvjO/view?usp=drivesdk,application/pdf,10/18/2024 14:45:45
Police Report Narrative.pdf,https://drive.google.com/file/d/1mAfwuLxYxOiMlOg_js1Aa6keBZAF1DFC/view?usp=drivesdk,application/pdf,10/18/2024 14:46:18
Order for Initial Eval.pdf,https://drive.google.com/file/d/1yppSPewKdrCfVGM_dFBtB9jL7nenNtBA/view?usp=drivesdk,application/pdf,10/18/2024 14:50:21
Case Face Sheet.pdf,https://drive.google.com/file/d/1OgOZExtM2k6RDvX6MI75Qi52LDPhHddk/view?usp=drivesdk,application/pdf,5/4/2024 6:26:30
Order of Release.pdf,https://drive.google.com/file/d/1H0oTsaIx_VBO8_ySutBslRiHAI3g1fTa/view?usp=drivesdk,application/pdf,7/1/2024 12:47:03
Order Dismissing Case.pdf,https://drive.google.com/file/d/1JuqNShMe8JLUCFbT9YREmIR69xRPdjPa/view?usp=drivesdk,application/pdf,10/18/2024 14:47:45
Order on Criminal Motion.pdf,https://drive.google.com/file/d/1pvMyTfgHl4JW6cJLfeQ3NgSIG5IOjng-/view?usp=drivesdk,application/pdf,9/6/2025 5:19:04
Notice of Court Date.pdf,https://drive.google.com/file/d/1CPVfWLVoP0ailLvNPQG_Gpu7o8cTk5ac/view?usp=drivesdk,application/pdf,6/15/2025 23:32:18
Conditions of Release.pdf,https://drive.google.com/file/d/1E-BFv7uT_pJWqSBjNmlzhM2qEMzFSWcp/view?usp=drivesdk,application/pdf,6/15/2025 23:32:16
Complaint Case 658959.pdf,https://drive.google.com/file/d/1AwOxMSpzqF-CHDAVAACeE0NdUPCzaMGi/view?usp=drivesdk,application/pdf,6/15/2025 23:32:17
Commitment Release Order (1).pdf,https://drive.google.com/file/d/1elIit1VyOGlLosEJ39Rz879aNQPH7cwm/view?usp=drivesdk,application/pdf,6/15/2025 23:32:18
Order for Protection.pdf,https://drive.google.com/file/d/1sm_bOK6DaoldOSJ5wrULChKqC_e6F2fD/view?usp=drivesdk,application/pdf,6/15/2025 23:15:52
worksheet (2).pdf,https://drive.google.com/file/d/1sz-Ai24SClc54FLhX-RjBMz9x8DNjKwX/view?usp=drivesdk,application/pdf,6/15/2025 23:32:19
correspondence.pdf,https://drive.google.com/file/d/19MqgX5nycW-PfgZaZlR2GPW0pUlTjbmb/view?usp=drivesdk,application/pdf,6/15/2025 23:32:16
worksheet (1).pdf,https://drive.google.com/file/d/1cQ-R5VyUOrIEsiM1aQcw4-HRsPOQATNC/view?usp=drivesdk,application/pdf,6/15/2025 21:44:02
