File Name,File URL,File Type,Date Created
Defendant's Narrative.pdf,https://drive.google.com/file/d/1p3pO2_-Lkwlslp_tsvgVSwIUM9A6JMHu/view?usp=drivesdk,application/pdf,9/15/2025 4:47:54
Request for Discovery.pdf,https://drive.google.com/file/d/1LjHWsgJcL6w0x9bMz7-iH85WsKrq5QIz/view?usp=drivesdk,application/pdf,5/6/2025 1:43:39
Police Report.pdf,https://drive.google.com/file/d/1XMelK2bMm6PlFAhh5GTrsSiXYEDB0Yhh/view?usp=drivesdk,application/pdf,5/6/2025 1:43:32
Order Dismissing Case.pdf,https://drive.google.com/file/d/1TJqA2peLcB2OjVIUmNRFBMmvCbOroWu3/view?usp=drivesdk,application/pdf,5/6/2025 1:43:36
REDACTED Competency Evaluation.pdf,https://drive.google.com/file/d/1zjzWtJnMCx9QNJnU71yYOpevTKDsnhfF/view?usp=drivesdk,application/pdf,5/6/2025 1:43:33
Case View 660121.pdf,https://drive.google.com/file/d/1fFRsAsf57o6wosbMAytabewALRYrP5fx/view?usp=drivesdk,application/pdf,5/6/2025 1:43:32
Criminal Complaint.pdf,https://drive.google.com/file/d/1Idr3ncFOh5WaIOVTprO3AiDKZWSQ7dLD/view?usp=drivesdk,application/pdf,5/6/2025 1:43:34
Case Face Sheet.pdf,https://drive.google.com/file/d/1rCqkvuiZKhJDIYQtpboKgMLvu7B32b3K/view?usp=drivesdk,application/pdf,5/6/2025 1:43:41
CASE STUDY660121_ The City of Seattle vs - Google Docs (1).pdf,https://drive.google.com/file/d/1WaTO3FSY-6NKxNlUo2CdMrt-4prcExyz/view?usp=drivesdk,application/pdf,5/6/2026 19:52:48
Journal Case No 660121 - Google Docs.pdf,https://drive.google.com/file/d/1vc1P-4ybnWND_eqf0CPTnkp6bhBkONkI/view?usp=drivesdk,application/pdf,9/16/2025 0:40:37
