File Name,File URL,File Type,Date Created
Forensic Report_ The Legal Architecture of Shadow Jurisdictions and Interlocal Immunity - Google Docs.pdf,https://drive.google.com/file/d/1kZ-4DD8sfgwBVjWje0oSN01yVIaPQjmM/view?usp=drivesdk,application/pdf,5/24/2026 17:42:05
The Competency-Medicalization Pipeline_ Analyzing the Erosion of Due Process in the Washington State Judicial System - Google Docs.pdf,https://drive.google.com/file/d/1dXWgVHcdyXMJzEHEjIVBQxW036Db45Ac/view?usp=drivesdk,application/pdf,5/24/2026 17:42:05
The Jurisprudential Web_ A Structural Analysis of Network Centrality and Systemic Failure - Google Docs.pdf,https://drive.google.com/file/d/1PI9KNp6AcLSRti7U-mUGKsHagSV2vg6O/view?usp=drivesdk,application/pdf,5/24/2026 17:42:06
Understanding Procedural Justice_ A Guide to Systems Failure and Legal Rights - Google Docs.pdf,https://drive.google.com/file/d/14SbAM5MFRzheyytHBw7I4Emc_EvEoB_T/view?usp=drivesdk,application/pdf,5/20/2026 5:58:35
Systemic Vulnerability Report_ Procedural Collapse in Municipal Justice Infrastructure (2021–2026) - Google Docs.pdf,https://drive.google.com/file/d/19NRVmeDV00qXrDxHcdHK0So1jyyMwO2y/view?usp=drivesdk,application/pdf,5/20/2026 5:58:35
Technologically‑Facilitated Terrorism Journal 9182025- Google Docs (5).pdf,https://drive.google.com/file/d/1jaLIT9LGSwZ-W3haqLK4rV9t7rLKd9aB/view?usp=drivesdk,application/pdf,5/20/2026 5:58:35
The Jurisdictional Compass_ Navigating Lex Domicilii and Lex Rei Sitae - Google Docs (1).pdf,https://drive.google.com/file/d/1uPlkkdw_hek3-gUeB0-47YBrcLwuj_i2/view?usp=drivesdk,application/pdf,5/20/2026 5:58:37
Sovereign Governance Charter_ The Seattle-Bremerton Majorat - Google Docs.pdf,https://drive.google.com/file/d/14Q6RTQCNf82aSMEyk28EOHCuV3PmZ0BQ/view?usp=drivesdk,application/pdf,5/18/2026 6:50:49
The Architecture of Entrapment_ A Systemic Loop Summary - Google Docs.pdf,https://drive.google.com/file/d/1UKK9KcZvKycucBDGWd-VxpLPrHbSkLcD/view?usp=drivesdk,application/pdf,5/14/2026 4:24:41
Strategic Litigation Memorandum_ Dismantling Administrative Immunity and Reasserting Sovereign Fiduciary Governance - Google Docs.pdf,https://drive.google.com/file/d/17EZcKRwm3c7QmZev8iAqZP68QgRZriY-/view?usp=drivesdk,application/pdf,5/14/2026 4:24:42
