File Name,File URL,File Type,Date Created
Necessity for Compensation for Violation of a Restrictive Covenan (1).pdf,https://drive.google.com/file/d/1mzzt3nYSKCZNnPmSLlBbmhClk_1Fkdxo/view?usp=drivesdk,application/pdf,5/18/2026 1:28:45
Authorities for Harrison v. Nixon – CourtListener.com (1).pdf,https://drive.google.com/file/d/16s9_igKcT_uEZL7uh5Fun4Xeu_FHCfh7/view?usp=drivesdk,application/pdf,5/18/2026 1:28:45
Kirlin-TestamentaryProvisionsAffected-1886 (1).pdf,https://drive.google.com/file/d/1UzyMg3ZSlu3Wh_lU8QwaU2xPp9JS612f/view?usp=drivesdk,application/pdf,5/18/2026 1:28:45
"In re Chappell's Estate (In re Chappell's Estate, 213 P. 684, 124 Wash. 128 (Wash. 1923)) - vLex United States (1).pdf",https://drive.google.com/file/d/1k4K3AG9OCuY6-_4hMD7eMMOvI2Qp4Aec/view?usp=drivesdk,application/pdf,5/18/2026 1:28:45
Original Scanned Docs 9/20.pdf,https://drive.google.com/file/d/1S3kHOWD9R_P3efZZ437k5rkCvBqKKslG/view?usp=drivesdk,application/pdf,9/20/2025 2:42:52
Rent Increase Letter 8/27.pdf,https://drive.google.com/file/d/1GBf7OOFzwkCudmRT2Yc6y_EKKp5EvZuL/view?usp=drivesdk,application/pdf,8/26/2025 21:14:42
Updated Ledger 8/12.pdf,https://drive.google.com/file/d/1fCLfKNxYexfxs3ayBz9XN9W8hUXfC7py/view?usp=drivesdk,application/pdf,8/12/2025 12:19:20
Full Satisfaction of Judgement 01/07.pdf,https://drive.google.com/file/d/1kjPeQ5ugLX_o1pJqhEaYuRamok0U3QHy/view?usp=drivesdk,application/pdf,1/7/2026 11:59:18
Fees and Cost Bill.pdf,https://drive.google.com/file/d/1DvzWU21poSc7LOukzV5ZdRzBeyQ6ne33/view?usp=drivesdk,application/pdf,8/13/2025 11:32:31
Eviction Summons & Complaint For Unlawful Detainer.pdf,https://drive.google.com/file/d/1fiuOnPJ4cE8D8BZHaTms3el4036uYrta/view?usp=drivesdk,application/pdf,7/25/2025 14:48:15
Updated Ledger - Lozenich (2).pdf,https://drive.google.com/file/d/1mJwlEFyC-gXtv54sSAHj_YIx4DkrUJ8S/view?usp=drivesdk,application/pdf,9/20/2025 20:15:00
Notice of Appearance 6/23.pdf,https://drive.google.com/file/d/1qJ9RZuzfalB-fN4tOXq_u0-J3U_khI3e/view?usp=drivesdk,application/pdf,7/25/2025 14:48:15
Unlawful Detainer Forensic Analysis.pdf,https://drive.google.com/file/d/1KrvvrfHNgxLrMw1ZBdcyMBDbUX_r8wsL/view?usp=drivesdk,application/pdf,9/20/2025 20:15:00
Notice of Rent Increase 8/12.pdf,https://drive.google.com/file/d/1m8kJsLNkR5a0J8NhPBPPhyGfzNi1-Ere/view?usp=drivesdk,application/pdf,8/12/2025 12:20:18
Order for Assignment of Unlawful Detainer.pdf,https://drive.google.com/file/d/1w1b2H59kO5FjpgStjz_--a6lzLDP66a8/view?usp=drivesdk,application/pdf,7/25/2025 14:48:18
Scanned Original Docs.pdf,https://drive.google.com/file/d/1JjVJcwjMp6ZcGylk0FL78Hc8fvs_eBB3/view?usp=drivesdk,application/pdf,9/20/2025 20:15:14
Motion For Relief From Default Judgement.pdf,https://drive.google.com/file/d/1SZaGP2WmKx0Dm4eFQcxFkWjkS6vg6CEo/view?usp=drivesdk,application/pdf,9/23/2025 12:53:41
Motion to Stay Unlawful Detainer 9/25.pdf,https://drive.google.com/file/d/1PPiEySVejwnmdcHGwEiNF7DOEBqnQNXW/view?usp=drivesdk,application/pdf,9/24/2025 18:59:08
Amended Declaration of Mailing 8/12.pdf,https://drive.google.com/file/d/1H2QlHaxtaQbA4yiw4-sfYoMM09AgLp8D/view?usp=drivesdk,application/pdf,8/17/2025 0:04:19
Order Continuing Show Cause.pdf,https://drive.google.com/file/d/1WiWBUvIxBL0EaR27ZtqiRJyolPnsYQFt/view?usp=drivesdk,application/pdf,8/12/2025 16:40:37
Defendant's Narrative.pdf,https://drive.google.com/file/d/1G8QUfOgiC9WOP0vWQ9wvCqk5ImPPZ7SX/view?usp=drivesdk,application/pdf,9/15/2025 4:47:54
